sports,countries,leagues,pronos,date,time,team_1,team_2,outcome,bookmaker,odds,value,probability
Hockey,USA,NHL,"Home/Away, FT including OT",2025-04-27,20:00,St. Louis Blues,Winnipeg Jets,1,Betfury,285,1.86,45.91
American football,USA,NCAA,"Home/Away, FT including OT",2025-08-30,23:00,Syracuse,Tennessee,1,GGBET,558,1.53,22.17
Football,Armenia,Premier League,DNB,2025-04-26,18:00,Noah,Ararat Yerevan,2,10bet,1800,1.95,10.32
Futsal,Poland,Ekstraklasa,1X2,2025-04-26,20:00,Ruda Slaska,Bielsko-Biala,X,1xBet,1700,1.73,9.1
Handball,France,Starligue,DNB,2025-04-26,21:00,PSG,Tremblay,2,bet365,2000,1.78,8.69
Football,Spain,Primera RFEF - Group 2,"O/U 3.5, 1st Half",2025-04-27,20:30,Hercules,Alcorcon,Over,1xBet,2500,2.13,8.46
Rugby Union,England,Premiership Rugby,1X2,2025-04-26,17:00,Bath,Newcastle Falcons,2,22Bet,1700,1.57,8.3
Football,Spain,Primera RFEF - Group 1,"O/U 3.5, 1st Half",2025-04-26,17:00,Ath Bilbao B,Cultural Leonesa,Over,1xBet,2500,2.07,8.2
Football,Egypt,Premier League,"O/U 3.5, 1st Half",2025-05-01,20:00,Al Masry,Zamalek,Over,1xBet,3300,2.37,8.17
Football,Spain,Primera RFEF - Group 2,"O/U 3.5, 1st Half",2025-04-27,16:30,Merida AD,Antequera,Over,1xBet,2500,2.04,8.08
Football,Spain,Primera RFEF - Group 1,"O/U 3.5, 1st Half",2025-04-26,19:00,Osasuna B,Andorra,Over,1xBet,2800,2.24,8.03
Football,Spain,Primera RFEF - Group 2,"O/U 3.5, 1st Half",2025-04-27,21:30,UD Ibiza,Fuenlabrada,Over,1xBet,2500,2.02,7.94
Football,Thailand,Thai League 1,"O/U 4.5, 1st Half",2025-04-27,14:00,Muang Thong Utd,Nakhon Ratchasima FC,Over,1xBet,2800,2.11,7.89
