sports,countries,leagues,pronos,date,time,team_1,team_2,outcome,bookmaker,odds,value,probability
Football,Egypt,Premier League,"Home/Away, FT including OT",2025-04-26,03:00,Zarate,Quimsa,2,Pinnacle,3.06,2.6,80.66
Football,Thailand,Thai League 1,"Home/Away, FT including OT",2025-04-26,22:30,Memphis Grizzlies,Oklahoma City Thunder,1,BC.Game,50.0,6.02,13.22
Handball,France,Starligue,"1X2, 1st Half",2025-04-26,21:00,PSG,Tremblay,2,22Bet,13.7,1.54,10.53
Rugby Union,Europe,European Rugby Champions Cup,1X2,2025-05-03,19:30,Leinster,Northampton Saints,2,GGBET,19.31,1.85,9.07
Futsal,Poland,Ekstraklasa,1X2,2025-04-26,20:00,Ruda Slaska,Bielsko-Biala,X,1xBet,18.0,1.7,8.95
Handball,France,Starligue,DNB,2025-04-26,21:00,PSG,Tremblay,2,bet365,21.0,1.8,8.77
Tennis,Serbia,ITF M15 Kursumlijska Banja Men Doubles,Home/Away,,16:00,Massard L./Tessa L.,Matovic J./Stefanovic M.,2,Betfair,17.0,1.54,8.71
Football,Thailand,Thai League 1,"O/U 3.5, 1st Half",2025-05-01,17:00,Ceramica Cleopatra,National Bank Egypt,Over,1xBet,34.0,2.4,8.36
Football,Italy,Serie C - Group A,"O/U 3.5, 1st Half",2025-05-01,20:00,Al Masry,Zamalek,Over,1xBet,34.0,2.37,8.17
Football,Scotland,Championship,"O/U 3.5, 1st Half",2025-04-27,21:30,UD Ibiza,Fuenlabrada,Over,1xBet,26.0,2.05,8.1
Football,Japan,J3 League,"O/U 3.5, 1st Half",2025-04-27,20:30,Hercules,Alcorcon,Over,1xBet,26.0,1.94,7.93
Football,Japan,J2 League,"O/U 3.5, 1st Half",2025-04-27,16:30,Merida AD,Antequera,Over,1xBet,26.0,1.94,7.93
Football,Spain,Primera RFEF - Group 1,"O/U 3.5, 1st Half",2025-04-27,01:30,CSA,Nautico,Over,1xBet,29.0,2.09,7.89
Basketball,USA,NBA,"O/U 3.5, 1st Half",2025-04-27,20:30,Zamora,Celta Vigo B,Over,1xBet,26.0,1.92,7.8
Football,Egypt,Premier League,"O/U 3.5, 1st Half",2025-04-27,22:30,Itabaiana,Sao Bernardo,Over,1xBet,34.0,2.42,7.78
Football,Europe,Champions League Women,"O/U 4.5, 1st Half",2025-04-27,14:00,Pathum United,Sukhothai,Over,1xBet,34.0,2.31,7.77
Football,South Korea,K3 League,"O/U 4.5, 1st Half",2025-04-27,14:00,Muang Thong Utd,Nakhon Ratchasima FC,Over,1xBet,41.0,2.6,7.65
Football,Italy,Serie A,"O/U 3.5, 1st Half",2025-04-27,00:00,Cavalry,Atl. Ottawa,Over,1xBet,29.0,2.03,7.63
Football,South Korea,K3 League,"O/U 3.5, 1st Half",2025-04-26,21:00,Yeclano,Algeciras,Over,1xBet,34.0,2.28,7.6
Football,Spain,Primera RFEF - Group 2,"O/U 3.5, 1st Half",2025-04-27,01:00,San Carlos,Herediano,Over,1xBet,34.0,2.1,7.59
